0	20201223-50877-15498-s-11060	堅ろう建物	18.04	8	[[-75008.6700055853, -104200.9300340511], [-75005.1299846874, -104220.33000102127], [-75008.45000010774, -104220.94004288242], [-75007.68001777459, -104225.18995887256], [-75017.37000395654, -104226.95993687339], [-75020.2900169236, -104210.98000550178], [-75021.31002398081, -104211.17000719877], [-75022.70999246377, -104203.5000482431], [-75008.6700055853, -104200.9300340511]]
1	20201223-50877-15498-s-11062	堅ろう建物	18.16	6	[[-75019.61998838825, -104229.96997217364], [-75015.90002116887, -104250.09005101945], [-75029.75995975189, -104252.65003045992], [-75032.90997523995, -104235.59003805241], [-75026.12996275246, -104234.33996097655], [-75026.69002216225, -104231.27997536618], [-75019.61998838825, -104229.96997217364]]
2	20201223-50877-15498-s-11479	堅ろう建物	17.945	19	[[-74957.6399742118, -104213.23002978912], [-74959.65898020116, -104200.56681367177], [-74961.05996379227, -104191.77999827571], [-74953.73001459987, -104190.60998354407], [-74953.06997389515, -104194.77003176582], [-74949.5999765188, -104194.21004634236], [-74948.4899958496, -104191.26003505521], [-74946.80999178094, -104193.53994921697], [-74945.83996217254, -104196.0500483171], [-74945.15003250724, -104198.50997089567], [-74944.82001279325, -104200.09994513025], [-74944.71001767949, -104202.0600155], [-74944.69001739487, -104205.37004001785], [-74944.91000728364, -104208.0699541221], [-74945.23003466787, -104209.92998814028], [-74945.40999684042, -104211.28995443712], [-74946.58003146909, -104210.11005018941], [-74953.46996558653, -104211.2100186805], [-74953.26000101688, -104212.53004399339], [-74957.6399742118, -104213.23002978912]]
3	20201223-50877-15498-s-11061	堅ろう建物	18.03	8	[[-75024.16001634748, -104203.56001206063], [-75019.82998595714, -104225.9299529652], [-75030.3000221346, -104227.95998419482], [-75031.55999632968, -104221.45996885932], [-75032.57997060263, -104218.98997034186], [-75033.01002236815, -104213.48994030233], [-75034.1099566187, -104211.15004726696], [-75034.37000071637, -104205.54000847663], [-75024.16001634748, -104203.56001206063]]
4	20201223-50877-15501-s-8372	堅ろう建物	17.735	14	[[-74965.35001751389, -104157.77999954992], [-74955.9800252686, -104156.19997228641], [-74955.58000000767, -104158.52995523858], [-74952.88996713623, -104157.1299676393], [-74951.23996563208, -104160.30999643629], [-74950.25000441518, -104163.29003364674], [-74949.73001787605, -104165.74998207345], [-74949.39001729822, -104168.21995532757], [-74949.25995945345, -104171.52996484238], [-74949.35002014441, -104174.55004131966], [-74949.5100348132, -104176.28995627371], [-74953.38003446086, -104175.93000379176], [-74952.96999889189, -104178.37997003482], [-74961.63003270228, -104179.84002658371], [-74965.35001751389, -104157.77999954992]]
5	20201223-50877-15501-s-8356	堅ろう建物	18.03	8	[[-75026.54002225684, -104177.8999990764], [-75014.82002305229, -104175.86001837073], [-75014.53998101038, -104177.40000970496], [-75012.55002912386, -104177.06000541108], [-75011.5199643351, -104183.0200063943], [-75013.0000397745, -104183.27995082941], [-75012.13003237006, -104188.30997864163], [-75024.36997927661, -104190.4400230948], [-75026.54002225684, -104177.8999990764]]
6	20201223-50877-15498-s-11302	堅ろう建物	18.255	10	[[-74975.40999614894, -104237.30996595723], [-74976.64000948332, -104230.2200317358], [-74975.62996814854, -104230.0400238656], [-74976.60001647557, -104224.44997480832], [-74966.32003791882, -104222.66996782212], [-74967.03997806345, -104218.4900416186], [-74959.35000840602, -104217.15000278536], [-74958.4399780487, -104222.3899905418], [-74955.5400177057, -104221.86997289558], [-74953.51998791257, -104233.51999259954], [-74975.40999614894, -104237.30996595723]]
7	20201223-50877-15498-s-11637	堅ろう建物	18.02	8	[[-74977.0851050024, -104200.37568388625], [-74976.87002538088, -104201.62999667319], [-74974.87002005662, -104201.27998174477], [-74972.46003966697, -104215.12001046252], [-74986.65003414174, -104217.58002284047], [-74989.66367963281, -104200.23769443133], [-74989.8700379385, -104199.05002404762], [-74977.6799747132, -104196.93003588813], [-74977.0851050024, -104200.37568388625]]
8	20201223-50877-15501-s-8354	堅ろう建物	17.8	14	[[-75008.2600066227, -104181.42998603501], [-75010.03002136925, -104171.28994531557], [-75006.67003448335, -104170.7100063094], [-75006.92998414821, -104169.18001235275], [-75002.91996878618, -104168.47999852328], [-75003.49000112333, -104165.20004392376], [-75001.16000823183, -104164.79999799511], [-75001.439961352, -104163.17001952657], [-74997.88996937346, -104162.55005540828], [-74997.05001262257, -104167.32000642695], [-74984.16997423698, -104165.07995098806], [-74983.97997580313, -104166.14001337628], [-74981.66002921715, -104165.71996422482], [-74979.79996608882, -104176.47001902683], [-75008.2600066227, -104181.42998603501]]
9	20201223-50877-15498-s-11416	堅ろう建物	18.1	8	[[-74957.1099901736, -104215.92994686306], [-74942.95997446586, -104213.89004883287], [-74941.68000818655, -104222.74996778328], [-74952.12000447547, -104224.24995872019], [-74952.78000941276, -104219.69996038765], [-74955.1299708429, -104220.04003391656], [-74955.38996172095, -104218.25996229652], [-74956.73998865356, -104218.45002079291], [-74957.1099901736, -104215.92994686306]]
